Player,Position,Games,Win rate,KDA
3z,TOP,6,0%,1.8
Alex,JUNGLE,6,0%,1.8
Apex,MID,1,0%,2
Baolan,SUPPORT,14,57.1%,2.4
BeryL,SUPPORT,10,60%,3.7
Blaber,JUNGLE,3,33.3%,1.7
Broxah,JUNGLE,10,50%,5.4
Bwipo,TOP,10,50%,2.3
Canyon,JUNGLE,10,60%,3.4
Caps,MID,18,61.1%,3.4
Chovy,MID,11,63.6%,6
Clid,JUNGLE,14,64.3%,4.5
Cody Sun,ADC,6,0%,1.3
CoreJJ,SUPPORT,6,50%,2.8
Crash,JUNGLE,6,0%,1.7
Crisp,SUPPORT,18,77.8%,5.9
Damonte,MID,6,0%,1.7
Deftly,ADC,1,100%,-
Doinb,MID,18,77.8%,6.6
Doublelift,ADC,6,50%,2.9
Effort,SUPPORT,12,75%,2.4
Faker,MID,14,64.3%,3.8
FoFo,MID,6,50%,3.1
GimGoon,TOP,18,77.8%,4.3
Hana,JUNGLE,6,50%,2.7
Hieu3,SUPPORT,1,0%,1
Humanoid,MID,11,45.5%,1.9
Huni,TOP,6,0%,1.5
Hylissang,SUPPORT,10,50%,2
Impact,TOP,6,50%,1.9
JackeyLove,ADC,14,57.1%,3.2
Jankos,JUNGLE,18,61.1%,2.9
Jensen,MID,6,50%,2.4
Kaiwing,SUPPORT,6,0%,3
Karsa,JUNGLE,6,50%,4
Khan,TOP,14,64.3%,3.7
Kiaya,MID,6,16.7%,2
Koala,SUPPORT,6,50%,2
Kobbe,ADC,11,45.5%,4.8
Langx,TOP,6,50%,3.2
Lehends,SUPPORT,11,63.6%,8.4
Levi,JUNGLE,6,16.7%,1.8
Leyan,JUNGLE,3,66.7%,2.9
Licorice,TOP,6,33.3%,1.3
LilV,ADC,6,50%,5.1
Lira,JUNGLE,6,0%,2.3
Lwx,ADC,18,77.8%,5.6
Mata,SUPPORT,2,0%,2.9
Mikyx,SUPPORT,18,61.1%,2.4
Ming,SUPPORT,6,50%,3.3
