Top_B,Jun_B,Mid_B,ADC_B,Sup_B,Top_R,Jun_R,Mid_R,ADC_R,Sup_R,Top_B_Gold,Jun_B_Gold,Mid_B_Gold,ADC_B_Gold,Sup_B_Gold,Top_R_Gold,Jun_R_Gold,Mid_R_Gold,ADC_R_Gold,Sup_R_Gold,Top_B_Damage,Jun_B_Damage,Mid_B_Damage,ADC_B_Damage,Sup_B_Damage,Top_R_Damage,Jun_R_Damage,Mid_R_Damage,ADC_R_Damage,Sup_R_Damage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Wunder,Jankos,Caps,Perkz,Mikyx,17064,15141,14654,22206,10965,15872,11583,12984,20210,9525,24274,14129,13406,23152,5053,20587,9150,8067,17707,3976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,GimGoon,Tian,Doinb,Lwx,Crisp,8525,7645,8768,7625,5400,9544,8577,13080,13469,7205,6090,9090,9648,5003,4241,4541,6343,13476,13012,4902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Wunder,Jankos,Caps,Perkz,Mikyx,10952,10540,11851,14120,8118,10844,8943,10064,12672,6434,15549,5616,14642,7833,3107,12392,4454,5955,21661,3021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Wunder,Jankos,Caps,Perkz,Mikyx,13528,10231,12198,15670,9779,11322,11137,15708,16849,8088,9672,6189,9136,12167,4823,5164,6087,14972,14152,5491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Khan,Clid,Faker,Teddy,Effort,12354,9449,14563,15933,8913,16923,13051,15569,17440,10299,15195,4200,16103,21496,7649,19696,8067,13807,21562,8216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Wunder,Jankos,Caps,Perkz,Mikyx,13571,9631,14814,15312,8081,13757,11188,12402,18566,8721,14041,5990,11851,19343,2243,15130,7179,13800,17636,4659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Khan,Clid,Faker,Teddy,Mata,13284,13351,15310,16462,8745,16436,12555,11930,13928,9245,14745,10425,30400,9780,11725,25095,16300,16087,20484,6389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,TheShy,Ning,RooKie,JackeyLove,Baolan,8662,10184,13116,14137,8060,8345,8500,10104,12005,5668,2799,6126,15270,11594,3313,10319,3653,10119,8485,2003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,GimGoon,Tian,Doinb,Lwx,Crisp,16279,13069,21081,18619,10730,15604,13269,16595,20708,11605,39643,16928,37891,21792,6289,27232,17575,28980,33374,11284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,TheShy,Ning,RooKie,JackeyLove,Baolan,10164,11500,9645,11965,7294,8503,7421,11156,10733,4871,8302,14015,10664,10636,3408,10922,4715,12925,14720,2541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,GimGoon,Tian,Doinb,Lwx,Crisp,16065,11483,12135,15669,8557,16070,13134,11653,17513,11939,18885,14099,17228,22198,6343,27599,20231,17804,26179,6853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,14423,9809,14965,17540,8658,12896,9651,11191,15497,8566,15697,4257,9226,17710,5324,8326,6021,5805,9493,2677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
